latitude,longitude,cmip5_prAdjust_2021_mm_year,cmip5_prAdjust_2022_mm_year,cmip5_prAdjust_2023_mm_year,cmip5_prAdjust_2024_mm_year,cmip5_prAdjust_2025_mm_year,cmip5_prAdjust_2026_mm_year,cmip5_prAdjust_2027_mm_year,cmip5_prAdjust_2028_mm_year,cmip5_prAdjust_2029_mm_year,cmip5_prAdjust_2030_mm_year,cmip5_prAdjust_2031_mm_year,cmip5_prAdjust_2032_mm_year,cmip5_prAdjust_2033_mm_year,cmip5_prAdjust_2034_mm_year,cmip5_prAdjust_2035_mm_year,cmip5_prAdjust_2036_mm_year,cmip5_prAdjust_2037_mm_year,cmip5_prAdjust_2038_mm_year,cmip5_prAdjust_2039_mm_year,cmip5_prAdjust_2040_mm_year,cmip5_prAdjust_2041_mm_year,cmip5_prAdjust_2042_mm_year,cmip5_prAdjust_2043_mm_year,cmip5_prAdjust_2044_mm_year,cmip5_prAdjust_2045_mm_year,cmip5_prAdjust_2046_mm_year,cmip5_prAdjust_2047_mm_year,cmip5_prAdjust_2048_mm_year,cmip5_prAdjust_2049_mm_year,cmip5_prAdjust_2050_mm_year
13.25,105.25,3329.86,4126.82,3192.28,4268.53,3730.90,4272.43,4490.12,3608.65,3040.06,3253.60,2969.65,4454.29,2303.73,4510.36,4882.64,3655.94,4043.44,4318.82,3533.08,3218.30,3812.47,3821.34,3923.08,4685.66,2988.00,4005.86,4471.23,3493.55,4188.50,3658.41
13.25,107.25,6585.67,6073.91,4090.99,8202.38,5968.57,6886.76,6312.98,5870.00,4718.49,6277.50,4171.94,8108.94,4500.99,7415.75,7841.37,6578.49,7497.16,8427.74,7279.29,4323.23,5724.87,7046.18,6718.40,7934.59,5477.16,7005.10,7551.81,7382.67,8462.79,5571.18
13.25,109.25,1867.84,2343.24,1111.63,1433.21,2909.24,2528.55,1248.92,1248.31,1921.34,1944.06,970.36,2070.62,1136.05,1915.12,1844.37,2190.67,1782.38,2376.75,1373.95,992.56,1495.57,2356.26,1343.68,1779.07,1751.60,1644.18,1978.23,1853.65,1493.98,1163.47
13.25,121.25,2812.87,2343.25,2408.51,2380.50,2217.87,3106.10,2055.74,2278.07,2720.72,2613.86,2063.15,1640.24,2587.01,2464.01,2124.32,2287.54,2464.66,2823.49,2269.59,2228.35,4313.24,4123.15,1657.14,2890.70,2340.66,2215.96,2547.61,2134.73,2361.78,4081.70
15.25,-90.75,1195.56,1715.97,1707.59,1182.37,1679.73,1951.13,1126.82,1922.42,1804.99,3103.72,2067.01,714.29,1887.14,2968.91,2977.59,2703.02,1673.37,1647.56,374.36,1629.36,1832.97,1150.26,1115.84,2063.97,2091.00,2725.37,3715.47,915.48,1373.69,2510.79
15.25,-88.75,3039.01,3262.35,5947.97,3039.27,5664.69,6575.62,3290.81,4749.11,5791.97,12148.94,6196.28,3165.95,4552.24,7230.21,8551.00,8213.31,4616.28,5226.12,1748.74,3836.49,5253.37,3251.06,2203.36,7690.64,5188.74,7374.04,13306.92,2990.58,3109.04,6605.25
15.25,-86.75,1140.59,1516.71,3593.41,1289.97,3030.62,3372.35,1457.64,2449.11,3251.24,5576.24,2874.76,1828.07,3224.98,2897.14,4753.18,6843.19,3120.62,3164.00,1158.90,1760.05,2631.98,1531.62,846.49,4566.32,2820.30,3919.30,5459.34,1493.03,1980.41,4115.30
15.25,-84.75,2832.77,3758.62,6759.09,3805.76,6397.33,5716.15,3326.42,5582.92,6988.18,9326.62,5031.61,3748.66,5207.91,5279.92,6251.97,10568.58,6293.15,7301.58,3610.90,4783.24,5944.30,5096.34,2720.87,6443.34,5361.28,6701.65,8747.24,4305.34,4224.95,6492.63
15.25,-14.75,680.91,565.38,286.98,395.03,607.75,615.30,336.69,459.40,386.85,280.08,528.07,294.54,656.03,330.18,580.45,733.97,417.46,397.69,295.84,485.06,409.47,254.37,646.45,391.05,672.85,587.27,665.47,400.65,556.00,665.68
15.25,-12.75,1738.30,2049.58,818.54,1221.58,1299.00,1638.19,1146.12,1265.16,985.77,921.52,1556.24,1113.33,1724.28,750.94,1272.07,1880.84,1111.41,1354.18,1147.57,1712.07,1274.96,901.37,1988.04,1110.69,1541.65,1572.89,1472.51,1325.58,1519.10,1662.77
15.25,-10.75,1887.45,1981.57,952.01,1406.93,1244.49,1832.64,1474.56,1170.61,1209.93,1176.45,1777.00,1286.92,1745.43,720.26,1315.54,1850.37,1079.89,1493.48,1977.37,2058.63,1550.67,1196.90,1850.98,1241.71,1209.44,1367.40,1292.65,1674.64,1553.52,1731.46
15.25,-8.75,1325.95,1040.43,665.18,938.89,630.98,1007.22,1243.06,769.41,864.04,779.52,1078.20,798.38,996.94,496.83,767.94,1146.82,779.57,1021.38,1455.84,1244.95,1132.53,975.05,1175.10,813.02,597.52,817.75,925.50,1038.99,1088.74,1100.87
15.25,-6.75,994.24,865.75,588.21,649.02,529.53,733.22,1095.96,452.00,890.32,788.55,806.66,741.66,1027.81,319.57,654.74,1188.91,703.54,789.68,1056.53,858.74,979.76,853.55,1023.60,625.00,696.70,557.04,931.39,838.26,824.46,954.37
15.25,-4.75,828.64,959.34,531.39,540.98,534.46,695.48,1101.37,299.02,1021.22,852.22,579.12,954.00,1118.94,254.63,611.12,1013.68,620.51,610.06,846.89,623.12,1061.51,746.67,1096.86,544.07,533.71,412.22,827.76,855.13,727.48,854.30
15.25,-2.75,1161.19,1694.64,749.29,820.25,722.04,1176.54,1790.41,432.56,1380.60,1080.03,848.59,1405.37,1492.39,536.77,1001.73,1140.45,1206.71,938.63,969.16,945.38,1668.36,1017.98,1849.19,709.60,642.15,508.82,1043.29,1292.34,1047.14,1248.14
15.25,-0.75,1125.43,1845.76,678.17,710.57,609.99,1263.40,1672.42,393.92,1158.49,996.40,807.01,1370.93,1507.63,552.09,1024.26,863.74,1518.59,1028.23,924.86,883.08,1700.82,991.62,1780.90,703.51,633.73,438.26,1041.88,1141.67,986.22,1126.11
15.25,1.25,1491.26,2424.58,688.27,793.21,510.09,1868.66,1675.87,501.08,1220.97,1240.57,1024.51,1620.04,2032.65,662.35,1294.03,843.17,2134.26,1396.80,1288.11,1089.99,2017.14,1475.12,1878.25,766.64,901.44,414.17,1264.64,1291.38,1357.79,1137.78
15.25,3.25,872.67,757.10,428.51,345.94,268.13,808.89,1055.34,339.02,1009.24,845.57,371.35,1165.29,1299.94,127.62,921.80,477.50,669.38,503.76,622.04,629.75,941.09,726.85,987.48,337.20,513.10,297.01,956.24,868.84,673.25,548.02
15.25,5.25,516.54,436.75,318.49,219.54,220.23,441.15,695.31,244.25,483.08,463.24,211.78,633.95,536.43,107.08,459.54,265.29,379.54,322.89,499.29,386.66,581.35,486.01,558.37,220.83,273.40,169.98,604.69,414.20,319.37,271.69
15.25,7.25,409.38,308.81,256.34,165.40,186.63,360.71,646.22,253.75,338.73,352.87,225.00,506.35,374.24,96.75,373.29,262.39,406.91,351.98,435.17,251.61,457.21,353.81,387.60,188.00,245.75,148.24,665.87,321.39,269.13,269.45
15.25,9.25,245.80,184.48,155.76,77.55,123.15,253.99,497.64,202.16,216.07,243.68,152.56,375.97,253.10,56.35,273.06,192.07,302.86,272.23,322.67,149.33,277.59,196.37,233.77,120.13,172.89,120.02,513.04,228.20,196.46,163.75
15.25,11.25,130.39,83.69,56.60,41.28,36.49,127.96,353.10,90.65,86.48,121.36,89.87,188.99,128.64,14.88,120.14,115.26,176.30,135.41,147.46,44.37,92.88,71.13,72.94,54.51,81.52,79.75,218.61,103.78,98.54,103.86
15.25,13.25,452.75,491.53,154.36,421.18,121.32,313.18,809.34,153.57,178.56,345.81,248.74,666.82,352.58,151.01,292.04,183.17,494.29,746.19,169.15,284.90,234.01,342.04,523.91,454.20,349.05,344.16,472.54,199.14,372.39,292.88
15.25,15.25,400.11,433.52,193.94,591.85,100.97,218.16,865.87,137.09,154.39,283.10,236.72,646.39,427.95,119.62,264.29,187.33,524.12,693.92,104.86,225.36,187.19,266.37,473.89,447.68,429.57,396.03,525.01,201.96,367.04,373.05
15.25,17.25,264.51,279.99,140.99,365.90,78.35,133.39,371.08,74.52,71.64,125.69,93.07,325.15,203.34,73.40,112.37,110.07,271.50,375.38,66.56,91.89,109.67,161.91,247.60,252.37,268.87,192.29,301.08,106.01,174.76,216.79
15.25,19.25,237.96,164.62,147.78,121.84,105.56,169.59,202.30,106.89,111.54,119.63,78.81,259.67,209.37,65.48,103.09,106.53,131.50,110.36,112.77,69.43,108.76,157.79,146.46,107.27,141.07,118.71,210.22,163.67,114.70,107.69
15.25,21.25,298.36,301.41,192.72,355.42,136.71,252.09,328.77,153.50,180.97,238.16,167.61,350.91,286.60,62.62,158.07,221.38,267.90,203.56,158.44,89.05,257.41,241.92,246.90,197.10,231.75,138.05,272.41,263.15,176.21,252.35
15.25,23.25,485.31,552.12,221.03,619.43,175.22,363.94,515.01,266.03,367.76,414.09,290.75,490.32,475.11,105.11,276.48,368.31,382.11,329.74,123.22,144.97,358.24,335.74,309.61,226.18,250.89,169.18,432.88,446.40,301.84,362.17
15.25,25.25,489.68,594.17,246.32,566.46,186.45,354.95,354.47,218.99,459.80,466.19,190.95,379.44,387.00,119.53,262.94,292.09,335.00,321.17,81.26,96.55,342.73,312.91,238.11,128.00,159.84,132.76,420.45,366.53,176.57,316.89
15.25,27.25,368.12,534.26,354.27,419.17,303.99,276.98,298.85,424.97,629.89,640.40,163.59,362.35,377.72,202.27,328.02,255.61,335.17,364.04,167.81,153.26,339.54,377.47,251.20,227.82,160.26,115.44,432.83,380.07,217.06,295.45
15.25,29.25,201.00,367.57,324.19,147.79,195.01,210.30,163.17,134.67,692.34,522.41,103.65,245.39,316.70,128.42,186.24,229.42,208.01,160.94,59.35,61.32,193.49,344.66,163.45,41.04,131.44,40.27,233.40,333.08,133.43,273.62
15.25,31.25,109.45,247.03,336.04,93.12,195.80,237.79,139.02,186.59,731.98,524.50,88.29,303.70,320.24,128.19,140.05,184.81,166.68,89.49,24.31,46.00,128.36,273.40,78.67,32.70,91.12,17.60,128.87,224.66,173.73,242.09
15.25,33.25,170.36,350.71,413.25,113.03,184.67,242.15,229.13,219.66,830.41,623.62,131.50,328.99,415.79,130.79,148.26,240.29,145.95,129.15,149.51,167.76,232.31,333.22,130.94,64.64,123.77,75.69,197.12,209.48,196.62,211.04
15.25,35.25,319.47,332.29,381.95,190.99,235.91,268.96,419.12,305.65,725.94,525.58,203.21,466.65,478.06,219.44,237.90,360.81,500.22,235.85,268.08,327.16,380.74,449.19,362.38,142.39,263.65,120.28,255.73,312.60,368.00,233.46
15.25,37.25,1587.58,1490.58,2291.60,741.44,1098.83,1010.43,1586.04,1921.26,2998.83,2251.08,865.41,2175.75,1995.46,1334.04,1081.67,1365.92,1655.23,1008.86,1013.16,1262.45,1807.59,2429.12,1632.67,1082.01,864.54,450.98,1367.40,1654.89,1729.05,953.16
15.25,39.25,744.02,992.14,969.06,1041.61,381.34,477.68,219.89,2696.10,2113.32,2036.00,303.08,321.57,1087.45,444.10,851.81,969.17,885.88,1229.88,457.99,675.96,493.52,927.87,923.75,607.61,322.44,118.20,988.18,780.39,654.73,1067.71
15.25,43.25,356.11,151.06,221.67,215.72,215.59,103.35,134.90,822.91,464.59,503.50,132.48,345.36,336.53,271.29,317.32,556.95,306.50,235.80,816.42,262.31,360.45,780.13,66.28,168.61,124.69,98.17,178.82,325.86,187.55,599.68
15.25,45.25,163.25,99.62,122.67,193.39,195.92,55.67,150.43,176.09,146.08,279.21,79.42,90.68,153.73,47.72,203.27,87.47,109.16,190.77,373.77,19.34,213.65,511.53,4.53,20.47,52.87,18.83,80.32,117.17,98.37,68.75
15.25,47.25,118.71,128.04,173.81,223.61,343.97,30.14,174.21,264.42,202.19,316.31,60.55,194.16,117.40,118.50,183.39,91.26,186.86,162.06,221.20,105.12,255.51,394.26,232.06,140.48,37.35,77.74,54.04,243.33,152.49,58.67
15.25,49.25,101.37,138.23,108.65,200.27,241.92,19.22,127.86,178.28,193.58,194.00,36.60,135.58,146.88,74.42,95.54,170.81,104.23,119.87,121.45,76.28,209.89,264.55,235.46,131.68,49.32,111.53,44.67,168.26,93.13,67.44
15.25,75.25,461.57,650.59,741.43,670.12,1022.67,598.13,417.45,347.45,1184.01,568.77,592.91,677.25,298.31,464.59,611.50,685.29,737.60,577.26,399.34,396.21,542.26,749.96,591.59,795.35,319.73,947.46,959.76,368.57,338.92,219.30
15.25,77.25,273.22,615.37,558.74,648.84,743.67,390.71,450.03,480.78,1263.64,508.45,562.03,553.06,387.01,568.41,563.55,435.78,591.95,595.76,357.40,301.92,445.89,742.48,557.23,1144.02,228.29,947.65,891.00,398.93,435.57,162.90
