latitude,longitude
-75.10416666666667,-13
-75.10416666666667,-11
-75.10416666666667,-9
-75.10416666666667,-7
-75.10416666666667,-5
-75.10416666666667,-3
-75.10416666666667,-1
-75.10416666666667,1
-75.10416666666667,3
-75.10416666666667,5
-75.10416666666667,7
-75.10416666666667,9
-75.10416666666667,11
-75.10416666666667,13
-75.10416666666667,15
-75.10416666666667,17
-75.10416666666667,19
-75.10416666666667,21
-75.10416666666667,23
-75.10416666666667,25
-75.10416666666667,27
-75.10416666666667,29
-75.10416666666667,31
-75.10416666666667,33
-75.10416666666667,35
-75.10416666666667,37
-75.10416666666667,39
-75.10416666666667,41
-75.10416666666667,43
-75.10416666666667,45
-75.10416666666667,47
-75.10416666666667,49
-75.10416666666667,51
-75.10416666666667,53
-75.10416666666667,55
-75.10416666666667,57
-75.10416666666667,59
-75.10416666666667,61
-75.10416666666667,63
-75.10416666666667,65
-75.10416666666667,67
-75.10416666666667,69
-73.10138888888889,-9
-73.10138888888889,-7
-73.10138888888889,-5
-73.10138888888889,-3
-73.10138888888889,-1
-73.10138888888889,1
-73.10138888888889,3
-73.10138888888889,5
-73.10138888888889,7
-73.10138888888889,9
-73.10138888888889,11
-73.10138888888889,13
-73.10138888888889,15
-73.10138888888889,17
-73.10138888888889,19
-73.10138888888889,21
-73.10138888888889,23
-73.10138888888889,25
-73.10138888888889,27
-73.10138888888889,29
-73.10138888888889,31
-73.10138888888889,33
-73.10138888888889,35
-73.10138888888889,37
-73.10138888888889,39
-73.10138888888889,41
-73.10138888888889,43
-73.10138888888889,45
-73.10138888888889,47
-73.10138888888889,49
-73.10138888888889,51
-73.10138888888889,53
-73.10138888888889,55
-73.10138888888889,57
-73.10138888888889,59
-73.10138888888889,61
-73.10138888888889,63
-73.10138888888889,65
-71.09861111111111,29
-71.09861111111111,31
-71.09861111111111,33
-71.09861111111111,35
-71.09861111111111,37
-71.09861111111111,39
-71.09861111111111,41
-71.09861111111111,43
-71.09861111111111,45
-71.09861111111111,47
-71.09861111111111,49
-71.09861111111111,51
-71.09861111111111,53
-71.09861111111111,55
-71.09861111111111,57
-71.09861111111111,59
-71.09861111111111,61
-71.09861111111111,63
-71.09861111111111,65
-69.09583333333333,45
-69.09583333333333,47
-69.09583333333333,49
-69.09583333333333,51
-69.09583333333333,53
-69.09583333333333,55
-69.09583333333333,57
-69.09583333333333,59
-69.09583333333333,61
-69.09583333333333,63
-69.09583333333333,65
-67.09305555555555,53
-67.09305555555555,55
-51.07083333333333,-71
-49.06805555555555,-73
-49.06805555555555,-71
-47.06527777777778,-73
-47.06527777777778,-71
-47.06527777777778,-69
-45.0625,-71
-45.0625,-69
-43.05972222222222,-71
-43.05972222222222,-69
-43.05972222222222,-67
-41.05694444444445,-71
-41.05694444444445,-69
-41.05694444444445,-67
-39.05416666666667,-71
-39.05416666666667,-69
-39.05416666666667,-67
-39.05416666666667,-65
-37.05138888888889,-71
-37.05138888888889,-69
-37.05138888888889,-67
-37.05138888888889,-65
-37.05138888888889,-63
-37.05138888888889,-61
-37.05138888888889,-59
-37.05138888888889,143
-35.04861111111111,-69
-35.04861111111111,-67
-35.04861111111111,-65
-35.04861111111111,-63
-35.04861111111111,-61
-35.04861111111111,141
-35.04861111111111,143
-35.04861111111111,145
-35.04861111111111,147
-35.04861111111111,149
-33.04583333333333,-69
-33.04583333333333,-67
-33.04583333333333,-65
-33.04583333333333,-63
-33.04583333333333,-61
-33.04583333333333,-55
-33.04583333333333,21
-33.04583333333333,117
