latitude,longitude,era5_t2m_2015_C,era5_t2m_2016_C,era5_t2m_2017_C,era5_t2m_2018_C,era5_t2m_2019_C,era5_t2m_2020_C,era5_t2m_2021_C,era5_t2m_2022_C,era5_t2m_2023_C,era5_t2m_2024_C
-35.0486,-67,17.7171,17.2673,17.7567,18.2807,18.6317,18.8401,18.1340,18.6323,18.9430,18.3966
-35.0486,-65,16.9947,16.3333,16.9159,17.0206,17.1072,17.3335,17.0499,17.0102,17.4661,17.2368
-35.0486,-63,16.9528,16.1350,16.9284,16.8652,16.6969,16.6151,16.7383,16.6953,17.4185,16.9656
-35.0486,-61,16.9852,16.1814,17.0129,16.6749,16.4260,16.4646,16.7941,16.3769,17.4216,16.9038
-35.0486,-59,17.1132,16.4667,17.6264,17.1200,16.7846,16.7361,16.8872,16.5729,17.6074,17.1395
-35.0486,-59,17.1132,16.4667,17.6264,17.1200,16.7846,16.7361,16.8872,16.5729,17.6074,17.1395
-35.0486,139,14.6325,14.3080,14.5270,14.8065,14.8246,13.8836,13.8235,13.8416,13.9605,14.5603
-35.0486,141,16.8500,16.6174,16.7992,17.0666,16.9465,16.0108,16.0687,16.1514,16.3180,17.0244
-35.0486,143,17.1361,16.9831,17.0486,17.3185,17.2938,16.3746,16.3191,16.3437,16.5695,17.0363
-35.0486,145,17.1726,17.2460,17.3773,17.6869,17.6737,16.5767,16.1922,16.2691,16.8227,17.3761
-35.0486,147,16.6010,16.7584,16.2912,17.2813,17.3625,16.1634,15.3220,15.6293,16.1681,16.7668
-35.0486,149,13.1780,13.7897,13.1269,13.5225,13.7776,13.2728,12.2969,12.6956,13.1545,13.6971
-33.0458,-71,15.0546,15.2427,14.6846,14.8370,15.5708,15.1774,14.4691,14.3576,15.1307,14.7016
-33.0458,-71,15.0546,15.2427,14.6846,14.8370,15.5708,15.1774,14.4691,14.3576,15.1307,14.7016
-33.0458,-69,11.5065,11.1836,12.2017,11.8749,12.0273,12.2150,11.9673,11.7112,12.8290,12.2060
-33.0458,-69,11.5065,11.1836,12.2017,11.8749,12.0273,12.2150,11.9673,11.7112,12.8290,12.2060
-33.0458,-67,18.3145,18.0932,18.6560,18.7247,18.9844,19.5480,18.9320,19.4965,20.0765,19.6029
-33.0458,-65,14.7496,14.0658,14.7775,14.6001,14.7128,15.1127,14.6178,14.8622,15.5940,15.2084
-33.0458,-63,17.8591,17.1333,17.9738,17.8471,17.6365,17.8286,17.5863,17.5730,18.4997,17.7839
-33.0458,-61,18.1585,17.2616,18.1072,17.8836,17.8484,17.9598,17.9439,17.7687,18.6274,18.0055
-33.0458,-59,18.5095,17.7466,18.6383,18.3361,17.9526,18.2133,18.3469,17.8066,19.0848,18.3934
-33.0458,-59,18.5095,17.7466,18.6383,18.3361,17.9526,18.2133,18.3469,17.8066,19.0848,18.3934
-33.0458,-57,18.1416,17.5270,18.6827,18.3517,17.9017,17.9166,18.0304,17.5450,18.4711,17.8381
-33.0458,-57,18.1416,17.5270,18.6827,18.3517,17.9017,17.9166,18.0304,17.5450,18.4711,17.8381
-33.0458,-55,16.8653,16.4127,17.7034,17.0943,16.8600,16.6165,16.7241,16.1791,16.9325,16.4022
-33.0458,-55,16.8653,16.4127,17.7034,17.0943,16.8600,16.6165,16.7241,16.1791,16.9325,16.4022
-33.0458,-53,18.6913,17.9585,19.3785,18.5407,18.6734,18.1695,18.4993,18.0015,18.6479,18.2896
-33.0458,-53,18.6913,17.9585,19.3785,18.5407,18.6734,18.1695,18.4993,18.0015,18.6479,18.2896
-33.0458,19,17.1351,17.1889,17.0973,16.8765,17.1803,16.9512,16.6083,16.9121,16.3289,16.8885
